ORG_CODE,ORG_NAME,Month,LEFT_DEPARTMENT_ECDS_RATE,LEFT_DEPARTMENT_TOTAL,MSITAE_COMPARISON_ECDS,MSITAE_COMPARISON_ECDS_RATE,MSITAE_COMPARISON_MSITAE,TIME_TO_INITIAL_ASSESSMENT_95,TIME_TO_INITIAL_ASSESSMENT_DENOM,TIME_TO_INITIAL_ASSESSMENT_MEDIAN,TIME_TO_TREATMENT_95,TIME_TO_TREATMENT_DENOM,TIME_TO_TREATMENT_MEDIAN,TOTAL_TIME_95,TOTAL_TIME_95_ADMITTED,TOTAL_TIME_95_NON_ADM,TOTAL_TIME_DENOM,TOTAL_TIME_DENOM_ADMITTED,TOTAL_TIME_DENOM_NON_ADM,TOTAL_TIME_MEDIAN,TOTAL_TIME_MEDIAN_ADMITTED,TOTAL_TIME_MEDIAN_NON_ADM,UNPLANNED_REATTENDANCES,UNPLANNED_REATTENDANCES_DENOM,UNPLANNED_REATTENDANCES_RATE,Year,Total Attendances,Year_Start
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,2023-03-01,4.625468164794,1235.0,26700.0,99.9251497005988,26718.0,57.0,4585.0,6.0,273.0,24010.0,89.0,860.0,1449.0,532.0,26655.0,4800.0,21855.0,192.0,426.5,177.0,2390.0,24630.0,9.703613479,2022-23,25348842,2022-04-01
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,2023-03-01,5.5724417426545,550.0,9870.0,101.127049180327,9759.0,72.0,2175.0,-2.0,441.0,5510.0,105.0,993.0,1282.0,955.0,9850.0,815.0,9035.0,227.0,365.0,220.0,480.0,6630.0,7.23981900452488,2022-23,25348842,2022-04-01
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2023-03-01,7.3440643863179,1825.0,24850.0,96.59863946,25724.0,33.0,3425.0,7.0,327.0,22145.0,81.0,1005.0,1556.19999999999,676.2,24650.0,4215.0,20435.0,211.0,534.0,186.0,2175.0,23840.0,9.123322147651,2022-23,25348842,2022-04-01
RWJ,STOCKPORT NHS FOUNDATION TRUST,2023-03-01,6.53212958045671,615.0,9415.0,100.106326422115,9403.0,36.6999999999998,2325.0,7.0,312.899999999999,8785.0,98.0,1154.25,1544.1,628.399999999999,9415.0,2825.0,6595.0,229.0,446.0,204.0,675.0,9380.0,7.19616204690831,2022-23,25348842,2022-04-01
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,2023-03-01,4.05569007263922,335.0,8260.0,100.060569351907,8255.0,32.75,2145.0,7.0,324.0,7920.0,100.0,681.0,983.0,466.599999999999,8260.0,2755.0,5510.0,227.0,353.0,186.0,585.0,8195.0,7.138499085,2022-23,25348842,2022-04-01
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,2023-03-01,1.53452685421994,90.0,5865.0,101.20793787748,5793.0,32.55,0.0,21.0,98.0,5725.0,20.0,150.0,166.199999999999,150.0,5865.0,220.0,5645.0,60.0,62.0,60.0,425.0,5600.0,7.58928571428571,2022-23,25348842,2022-04-01
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,2023-03-01,1.28988458927359,95.0,7365.0,88.30935252,8340.0,,,,98.0,7050.0,20.0,146.0,135.0,146.0,7365.0,660.0,6705.0,55.0,55.0,55.0,190.0,6935.0,2.739726027,2022-23,25348842,2022-04-01
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2023-03-01,1.0948905109489,195.0,17810.0,100.564652738565,17710.0,76.0,3125.0,13.0,282.0,14145.0,47.0,959.0,1427.69999999999,497.0,17760.0,3485.0,14275.0,157.0,520.0,130.0,795.0,13075.0,6.08030592734225,2022-23,25348842,2022-04-01
NTV0W,WOKING WALK IN CENTRE,2023-03-01,0.0,0.0,3020.0,92.9230769230769,3252.0,,,,,,,269.099999999999,,269.099999999999,3020.0,,3020.0,121.0,,121.0,,,,2022-23,25348842,2022-04-01
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,2023-03-01,0.0,0.0,1880.0,141.88679245283,1323.0,,,,54.0,0.0,54.0,668.899999999999,,668.899999999999,1860.0,,1860.0,172.0,,172.0,0.0,0.0,0.0,2022-23,25348842,2022-04-01
AXA,TOWER HAMLETS GP CARE GROUP CIC,2023-03-01,6.89455388180764,595.0,8630.0,0.0,0.0,27.0,160.0,9.0,317.0,5905.0,121.0,413.0,1096.99999999999,395.0,8630.0,285.0,8345.0,184.0,252.0,181.0,670.0,7690.0,8.71261378413524,2022-23,25348842,2022-04-01
RXF,MID YORKSHIRE TEACHING NHS TRUST,2023-03-01,6.96460980036297,1535.0,22040.0,100.113558937088,22013.0,45.0,3950.0,10.0,388.0,20505.0,68.0,825.95,1114.94999999999,529.049999999999,22040.0,4820.0,17220.0,173.0,470.0,147.0,1790.0,21235.0,8.42947963268189,2022-23,25348842,2022-04-01
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023-03-01,4.75113122171945,315.0,6630.0,81.0018326206475,8187.0,65.0,1790.0,11.0,247.399999999999,6235.0,46.0,1086.64999999999,1490.0,593.199999999998,6630.0,1580.0,5050.0,216.0,439.0,186.0,565.0,6500.0,8.69230769230769,2022-23,25348842,2022-04-01
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2023-03-01,3.74311926605504,510.0,13625.0,100.405305821665,13569.0,161.0,2655.0,28.0,303.949999999998,12440.0,71.0,1428.84999999999,1813.25,644.0,13625.0,4145.0,9480.0,200.0,396.0,175.0,1170.0,13485.0,8.67630700778642,2022-23,25348842,2022-04-01
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,2023-03-01,2.96900489396411,455.0,15325.0,84.9030470914127,18048.0,21.0,2275.0,4.0,,,,479.0,596.0,404.0,15305.0,3880.0,11425.0,193.0,248.0,178.0,855.0,11220.0,7.62032085561497,2022-23,25348842,2022-04-01
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,2023-03-01,7.39795918367346,580.0,7840.0,100.127713920817,7830.0,176.899999999999,2135.0,8.0,371.799999999999,7065.0,110.0,1010.89999999999,1393.0,624.0,7820.0,2360.0,5460.0,239.0,421.0,206.0,485.0,7745.0,6.26210458360232,2022-23,25348842,2022-04-01
NQT5F,SKELMERSDALE WALK IN CENTRE,2023-03-01,1.27551020408163,25.0,1960.0,99.2405063291139,1973.0,,,,149.649999999999,1850.0,60.0,177.099999999999,158.2,178.0,1960.0,45.0,1915.0,85.0,74.0,85.0,130.0,1820.0,7.14285714285714,2022-23,25348842,2022-04-01
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2023-03-01,2.50100847115772,310.0,12395.0,99.9596774193548,12398.0,35.0,2980.0,6.0,268.0,12085.0,85.0,677.949999999998,925.0,440.599999999999,12360.0,4315.0,8050.0,200.0,286.0,169.0,760.0,12025.0,6.32016632016632,2022-23,25348842,2022-04-01
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,2023-03-01,8.71449205584978,905.0,10385.0,99.759846301633,10412.0,149.399999999999,1495.0,29.0,430.0,9235.0,120.0,982.0,1591.19999999999,706.5,10385.0,1815.0,8570.0,239.0,614.0,224.0,865.0,10200.0,8.48039215686274,2022-23,25348842,2022-04-01
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,2023-03-01,2.42252291575731,555.0,22910.0,92.88465437,24666.0,95.3499999999999,4255.0,23.0,534.099999999998,15170.0,86.0,712.0,1014.89999999999,490.0,21360.0,5110.0,16245.0,182.5,400.0,151.0,1420.0,17885.0,7.93961420184512,2022-23,25348842,2022-04-01
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,2023-03-01,5.46169868086091,1180.0,21605.0,100.092656937688,21586.0,52.0,5440.0,6.0,409.0,17030.0,117.0,999.899999999997,1270.0,668.099999999998,21605.0,5545.0,16060.0,284.0,495.0,256.0,1440.0,19555.0,7.36384556379442,2022-23,25348842,2022-04-01
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,2023-03-01,1.31362889983579,80.0,6090.0,100.082169268693,6084.0,,,,208.0,5075.0,96.0,229.0,234.149999999999,229.0,6090.0,40.0,6055.0,126.0,174.0,126.0,225.0,5480.0,4.10583941605839,2022-23,25348842,2022-04-01
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,2023-03-01,2.69266480965645,290.0,10770.0,100.279329608938,10740.0,46.0,2340.0,10.0,395.0,7880.0,77.0,954.699999999998,1508.0,486.899999999999,10765.0,2245.0,8525.0,161.0,418.0,132.0,635.0,8035.0,7.90292470441817,2022-23,25348842,2022-04-01
F4I4D,WHITEGATE DRIVE HEALTH CENTRE,2023-03-01,2.03794799718903,145.0,7115.0,0.0,0.0,,,,191.0,6875.0,27.0,205.0,157.0,205.0,7020.0,45.0,6975.0,39.0,44.0,39.0,675.0,6935.0,9.73323720259552,2022-23,25348842,2022-04-01
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,2023-03-01,6.30546473610462,675.0,10705.0,100.0,10703.0,58.0,1800.0,9.0,473.049999999999,7200.0,143.0,769.85,1190.0,565.0,10705.0,2395.0,8305.0,194.0,376.0,169.0,910.0,10665.0,8.532583216,2022-23,25348842,2022-04-01
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,2023-03-01,,,,,,,,,36.0,8995.0,8.0,,,,,,,,,,,,,2022-23,25348842,2022-04-01
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,2023-03-01,0.0,0.0,1345.0,39.4428152492668,3410.0,,,,,,,,,,,,,,,,,,,2022-23,25348842,2022-04-01
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2023-03-01,5.71917808219178,835.0,14600.0,50.5452657088454,28884.0,57.0,1925.0,13.0,507.0,11260.0,136.0,1626.0,2511.39999999999,1476.14999999999,14585.0,970.0,13620.0,335.0,691.0,322.0,1950.0,14310.0,13.6268343815513,2022-23,25348842,2022-04-01
ANH,MALLING HEALTH,2023-03-01,1.03057368601855,150.0,14555.0,0.0,0.0,1.0,0.0,1.0,345.0,6675.0,113.0,429.0,330.5,433.0,13905.0,315.0,13585.0,85.0,146.5,82.0,330.0,5580.0,5.91397849462365,2022-23,25348842,2022-04-01
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,2023-03-01,2.74473924977127,150.0,5465.0,100.0,5463.0,19.3999999999999,315.0,5.0,175.0,5315.0,51.0,332.899999999999,451.25,269.0,5465.0,995.0,4465.0,127.0,191.0,124.0,490.0,5170.0,9.47775628626692,2022-23,25348842,2022-04-01
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,2023-03-01,4.85796624125154,590.0,12145.0,100.0,12145.0,4.19999999999998,130.0,0.0,337.0,11010.0,95.0,651.0,1042.0,547.0,12145.0,1735.0,10410.0,197.0,333.0,182.0,1010.0,11615.0,8.69565217391304,2022-23,25348842,2022-04-01
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2023-03-01,5.07531106745252,775.0,15270.0,99.9345549738219,15281.0,30.0,2110.0,7.0,247.949999999999,1980.0,75.5,1024.59999999999,1431.0,656.0,15270.0,3130.0,12140.0,178.0,529.5,143.0,1015.0,11730.0,8.65302642796248,2022-23,25348842,2022-04-01
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,2023-03-01,0.965250965250965,25.0,2590.0,105.498981670061,2456.0,6.69999999999999,0.0,4.0,151.0,2485.0,52.0,234.0,218.0,234.0,2590.0,130.0,2460.0,103.5,101.0,104.0,140.0,2440.0,5.73770491803278,2022-23,25348842,2022-04-01
NTV0B,ASHFORD WALK-IN-CENTRE,2023-03-01,0.0,0.0,2770.0,95.0257289879931,2914.0,,,,,,,251.549999999999,,251.549999999999,2770.0,,2770.0,103.0,,103.0,,,,2022-23,25348842,2022-04-01
R1H,BARTS HEALTH NHS TRUST,2023-03-01,4.6267432321575,1410.0,30475.0,70.5439814814814,43202.0,81.0,5385.0,16.0,293.0,25985.0,61.0,1025.5,1648.5,664.0,30430.0,6205.0,24225.0,230.0,500.0,212.0,2445.0,27205.0,8.98731850762727,2022-23,25348842,2022-04-01
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,2023-03-01,0.147874306839186,20.0,13525.0,99.9630450849963,13528.0,73.0,2480.0,2.0,497.499999999999,120.0,111.0,1560.0,2517.25,865.0,13490.0,1855.0,11635.0,239.0,856.0,222.0,25.0,695.0,3.59712230215827,2022-23,25348842,2022-04-01
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,2023-03-01,11.4273754709083,1365.0,11945.0,80.2485723883103,14885.0,191.849999999999,2545.0,16.0,374.0,9140.0,82.0,1089.0,2152.39999999999,1078.0,11940.0,140.0,11800.0,222.0,454.0,221.0,980.0,11755.0,8.33687792428753,2022-23,25348842,2022-04-01
NNF,CITY HEALTH CARE PARTNERSHIP CIC,2023-03-01,5.28471937730438,645.0,12205.0,0.0,0.0,17.5,15.0,1.0,153.0,11555.0,32.0,299.0,284.699999999999,300.0,12205.0,425.0,11780.0,122.0,101.0,123.0,205.0,6190.0,3.31179321486268,2022-23,25348842,2022-04-01
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,2023-03-01,,,,,,,,,308.0,15735.0,107.0,,,,,,,,,,,,,2022-23,25348842,2022-04-01
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,2023-03-01,6.48625429553264,755.0,11640.0,60.9903065234477,19085.0,153.0,3850.0,17.0,395.299999999999,9535.0,103.0,1508.0,1851.0,722.0,11640.0,4100.0,7535.0,233.0,483.0,199.0,730.0,10160.0,7.18503937,2022-23,25348842,2022-04-01
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,2023-03-01,10.2441359502154,1070.0,10445.0,100.047892720306,10439.0,207.15,3020.0,34.0,456.0,8690.0,128.0,1001.0,1237.89999999999,698.0,10445.0,3195.0,7250.0,285.0,476.0,238.0,735.0,9930.0,7.40181268882175,2022-23,25348842,2022-04-01
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,2023-03-01,6.1489948758376,780.0,12685.0,70.1410008294166,18084.0,39.0,3460.0,7.0,380.75,11905.0,64.0,1293.75,1751.75,760.0,12685.0,4005.0,8680.0,294.0,546.0,232.0,920.0,12490.0,7.36589271417133,2022-23,25348842,2022-04-01
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,2023-03-01,3.28984685195689,290.0,8815.0,92.5459317585301,9527.0,14.4999999999999,0.0,4.5,150.0,8525.0,21.0,223.0,218.449999999999,223.0,8815.0,240.0,8575.0,98.0,86.0,98.0,635.0,7580.0,8.377308707,2022-23,25348842,2022-04-01
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,2023-03-01,3.40537000654878,520.0,15270.0,100.098328416912,15253.0,103.0,2945.0,15.0,229.0,14065.0,47.0,459.0,514.199999999999,442.0,15270.0,2590.0,12680.0,161.0,197.0,154.0,1425.0,15120.0,9.42460317460317,2022-23,25348842,2022-04-01
DJV01,HERNE BAY HEALTH CARE LTD,2023-03-01,0.0,0.0,2035.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2022-23,25348842,2022-04-01
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,2023-03-01,5.49019607843137,280.0,5100.0,100.0,5101.0,18.0,345.0,3.0,309.0,4815.0,76.0,447.05,828.549999999999,407.0,5100.0,325.0,4775.0,154.0,239.5,148.0,420.0,5070.0,8.28402366863905,2022-23,25348842,2022-04-01
RNZ,SALISBURY NHS FOUNDATION TRUST,2023-03-01,3.90995260663507,165.0,4220.0,67.9002413515687,6217.0,65.0,1150.0,5.5,261.549999999999,3770.0,87.0,717.149999999999,969.799999999999,472.0,4220.0,1235.0,2985.0,227.0,421.0,195.0,185.0,4165.0,4.44177671068427,2022-23,25348842,2022-04-01
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,2023-03-01,5.37848605577689,810.0,15060.0,103.186022610483,14594.0,87.0,3905.0,19.0,348.0,14255.0,67.0,933.0,1209.0,609.799999999999,15060.0,4015.0,11045.0,218.0,504.0,178.0,1665.0,14710.0,11.3188307273963,2022-23,25348842,2022-04-01
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023-03-01,11.9428571428571,2090.0,17500.0,66.9216061185468,26150.0,23.0,4210.0,4.0,379.0,13400.0,82.0,2175.0,2913.29999999999,827.0,17480.0,5120.0,12365.0,234.0,545.0,205.0,1360.0,14540.0,9.353507565337,2022-23,25348842,2022-04-01
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,2023-03-01,6.29543952412425,1905.0,30260.0,94.2679127725856,32099.0,42.0,6055.0,9.0,367.0,24300.0,91.0,998.199999999997,1613.59999999999,634.0,30255.0,7910.0,22350.0,210.0,317.0,197.0,2650.0,27865.0,9.51013816615826,2022-23,25348842,2022-04-01
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,2023-03-01,4.51875282422051,500.0,11065.0,140.329740012682,7886.0,13.0,30.0,5.0,92.0,10515.0,6.0,260.699999999998,280.0,259.0,11045.0,925.0,10120.0,108.0,91.0,110.0,620.0,9910.0,6.25630676084762,2022-23,25348842,2022-04-01
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,2023-03-01,0.0,0.0,18015.0,103.119633657698,17471.0,48.2999999999997,3815.0,7.0,315.0,15165.0,96.0,1342.0,2106.0,767.75,18015.0,2850.0,15165.0,203.0,517.0,184.0,1580.0,17885.0,8.834218619,2022-23,25348842,2022-04-01
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,2023-03-01,3.97727272727272,35.0,880.0,19.1721132897603,4591.0,,,,67.0,630.0,13.0,194.199999999999,161.199999999999,194.0,880.0,55.0,820.0,70.0,55.0,71.0,15.0,545.0,2.75229357798165,2022-23,25348842,2022-04-01
D0W0K,HEALTH & WELLBEING CENTRE,2023-03-01,0.0,0.0,4455.0,0.0,0.0,31.0,0.0,31.0,84.0,4430.0,13.0,92.0,105.0,92.0,4430.0,0.0,4430.0,22.0,105.0,22.0,355.0,4410.0,8.04988662131519,2022-23,25348842,2022-04-01
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,2023-03-01,0.0,0.0,6920.0,102.366863905325,6760.0,86.0,1355.0,20.0,,,,1880.39999999999,2027.84999999999,1873.19999999999,6860.0,30.0,6830.0,227.0,958.5,227.0,335.0,5340.0,6.27340823970037,2022-23,25348842,2022-04-01
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,2023-03-01,6.12440191387559,640.0,10450.0,99.9521759923481,10454.0,104.849999999999,1545.0,21.5,712.449999999998,9810.0,101.0,1687.09999999999,2394.99999999999,845.599999999998,10440.0,2725.0,7715.0,208.0,300.0,202.0,965.0,9870.0,9.77710233,2022-23,25348842,2022-04-01
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,2023-03-01,0.0,0.0,10540.0,99.5748700991969,10587.0,21.0,1365.0,6.0,221.0,1740.0,72.0,667.0,586.0,680.0,10400.0,1850.0,8550.0,234.0,253.0,225.0,70.0,1765.0,3.96600566572237,2022-23,25348842,2022-04-01
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,2023-03-01,2.82292557741659,330.0,11690.0,75.6389517955354,15456.0,115.0,1070.0,19.0,69.0,11355.0,13.0,743.35,1058.0,426.0,11675.0,3180.0,8490.0,164.0,336.0,131.0,865.0,11515.0,7.5119409465914,2022-23,25348842,2022-04-01
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,2023-03-01,2.60416666666666,250.0,9600.0,93.6128717698683,10256.0,59.3499999999999,2035.0,15.0,189.0,9000.0,55.0,1084.54999999999,1675.79999999999,530.0,9210.0,2120.0,7090.0,199.0,349.0,182.0,590.0,9035.0,6.530160487,2022-23,25348842,2022-04-01
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,2023-03-01,3.81154049761778,360.0,9445.0,99.1601049868766,9525.0,59.0,1930.0,15.0,195.0,9085.0,55.0,1062.75,1306.0,591.699999999999,9445.0,2600.0,6845.0,249.0,568.0,204.0,775.0,8920.0,8.68834080717488,2022-23,25348842,2022-04-01
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,2023-03-01,5.549327354,495.0,8920.0,101.768397033656,8764.0,30.0,1835.0,6.0,319.0,8425.0,83.0,1230.0,1767.89999999999,585.0,8920.0,2120.0,6800.0,214.0,504.5,177.0,885.0,8535.0,10.3690685413005,2022-23,25348842,2022-04-01
RN7,DARTFORD AND GRAVESHAM NHS TRUST,2023-03-01,1.97013028280902,310.0,15735.0,99.2431409649952,15857.0,36.0,2190.0,8.0,252.0,9070.0,66.0,513.599999999998,834.249999999999,479.0,15730.0,1010.0,14720.0,166.0,237.0,164.0,660.0,9405.0,7.01754385964912,2022-23,25348842,2022-04-01
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,2023-03-01,,,,,,,,,211.0,4690.0,66.5,,,,,,,,,,,,,2022-23,25348842,2022-04-01
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,2023-03-01,3.61671170234878,870.0,24055.0,97.8840284842319,24574.0,29.0,4900.0,5.0,,,,1860.0,3633.45,939.7,23720.0,3710.0,20005.0,165.0,442.0,151.0,2675.0,23270.0,11.4954877524709,2022-23,25348842,2022-04-01
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,2023-03-01,6.97534576067348,1160.0,16630.0,100.030075187969,16625.0,36.0,3515.0,5.0,272.0,15460.0,54.0,849.0,1239.59999999999,629.049999999999,16625.0,3425.0,13200.0,188.0,333.0,165.0,1530.0,16480.0,9.28398058252427,2022-23,25348842,2022-04-01
RW4,MERSEY CARE NHS FOUNDATION TRUST,2023-03-01,11.2707678491243,1255.0,11135.0,89.08,12501.0,,,,198.0,9520.0,45.0,260.0,218.399999999999,263.0,11135.0,755.0,10380.0,106.0,83.0,108.0,1090.0,10680.0,10.2059925093632,2022-23,25348842,2022-04-01
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,2023-03-01,0.0,0.0,6235.0,43.193626602009,14437.0,186.449999999999,2030.0,22.0,494.199999999999,5935.0,166.0,1612.0,1949.99999999999,795.0,6235.0,2475.0,3760.0,314.0,369.0,301.0,475.0,6225.0,7.63052208835341,2022-23,25348842,2022-04-01
NX1,OPEROSE HEALTH (GROUP) UK LIMITED,2023-03-01,0.0,0.0,530.0,0.0,0.0,,,,147.0,530.0,26.5,157.199999999999,102.199999999999,158.199999999999,530.0,0.0,525.0,50.5,95.0,50.0,0.0,110.0,0.0,2022-23,25348842,2022-04-01
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2023-03-01,3.0354609929078,535.0,17625.0,100.028376844494,17621.0,48.0,3875.0,11.0,400.0,13325.0,98.0,1312.24999999999,2617.44999999999,638.75,17620.0,3775.0,13845.0,175.0,493.0,143.0,1250.0,13780.0,9.07111756168359,2022-23,25348842,2022-04-01
